node,record_id,name,layer,layer_name,degree,cross_layer_degree,betweenness_centrality,PCA_PC1,PCA_PC2,betweenness_rank,cross_layer_bridge_rank
51,PUBCHEM_119,aminobutyric acid,3,Pre-nucleic/functional systems,51,39,0.011960647746388714,-1.2958218311290641,0.7301306908808722,27,1
167,PUBCHEM_79094,alanylglycine,3,Pre-nucleic/functional systems,45,38,0.005401402924062425,-0.15911247205661397,0.31550280503466743,59,2
156,PUBCHEM_750,glycine,1,Simple organic chemistry,56,37,0.019545307533541802,-1.8234719422503425,-0.3394034677517213,17,3
41,PUBCHEM_1110,succinic acid,1,Simple organic chemistry,52,32,0.0072569307090869645,-1.121240467034993,0.3076748309507059,42,4
63,PUBCHEM_137,aminolevulinic acid,3,Pre-nucleic/functional systems,39,32,0.0011574761508703997,-0.634105741557445,0.631270725015149,96,5
31,PUBCHEM_1032,propionic acid,1,Simple organic chemistry,59,31,0.023938675963220885,-2.296821262240351,0.39088703366010324,14,6
159,PUBCHEM_757,glycolic acid,1,Simple organic chemistry,54,31,0.012033807389745419,-1.9184844100162515,-0.3832701025951369,26,7
173,PUBCHEM_867,malonic acid,1,Simple organic chemistry,50,31,0.0024000058573342585,-1.388662843506275,-0.2749288329955907,80,8
97,PUBCHEM_428913,N-(2-aminoethyl)glycine,3,Pre-nucleic/functional systems,41,30,0.005378165812135473,-0.5951058517496153,0.5970586256128525,60,9
81,PUBCHEM_264,butyric acid,1,Simple organic chemistry,54,29,0.012898575433732634,-2.0365935275903553,0.8778175283464004,25,10
108,PUBCHEM_5950,alanine,2,Prebiotic building blocks,53,29,0.01188106469852254,-1.6138420528963295,0.09991290389680925,28,11
184,PUBCHEM_98153,glycylalanine,3,Pre-nucleic/functional systems,36,29,0.0020067086692645976,-0.159112472056614,0.31550280503466754,84,12
148,PUBCHEM_6590,isobutyric acid,1,Simple organic chemistry,49,28,0.010755440247906638,-2.0886960836134016,0.7039759200566582,33,13
123,PUBCHEM_612,lactic acid,1,Simple organic chemistry,48,28,0.010279041346575198,-1.7088545206622399,0.05604626905339381,35,14
43,PUBCHEM_11163,glycylglycine,3,Pre-nucleic/functional systems,35,28,0.0006833682379008116,-0.3629866479535967,-0.04727503120586368,104,15
109,PUBCHEM_5951,serine,2,Prebiotic building blocks,47,27,0.027710545810009313,-0.9680828242009477,-0.0916405684121342,12,16
87,PUBCHEM_279,ureidosuccinic acid,3,Pre-nucleic/functional systems,34,27,0.001725884965989543,0.626801220686479,0.04381253617394859,87,17
116,PUBCHEM_6030,uridine monophosphate,3,Pre-nucleic/functional systems,28,26,3.600590913810071e-05,5.05836345722254,-0.2591814985274789,123,18
70,PUBCHEM_161500,aminoimidazole ribonucleotide,3,Pre-nucleic/functional systems,28,26,2.7640378125923388e-05,4.594024351669801,0.0015424609439988505,129,19
120,PUBCHEM_6083,adenosine monophosphate,3,Pre-nucleic/functional systems,28,26,2.7640378125923388e-05,6.44557221632347,-0.01928351690396149,130,20
62,PUBCHEM_135398641,inosine,2,Prebiotic building blocks,33,25,0.02314042361754209,4.440568162418244,-0.08098553227645833,15,21
73,PUBCHEM_176,acetic acid,1,Simple organic chemistry,48,25,0.015660421680130637,-2.564243638711634,-0.19171663028619304,21,22
161,PUBCHEM_767,carbonic acid,1,Simple organic chemistry,46,25,0.01421087407539241,-2.368584100355765,-0.9845545825195843,23,23
168,PUBCHEM_7911,malonamide,1,Simple organic chemistry,40,25,0.0074562009991714475,-1.15835272061837,-0.4331222314745006,41,24
60,PUBCHEM_135398635,guanosine,2,Prebiotic building blocks,31,25,0.006629620457774156,5.1071171659516414,-0.22730101827169097,45,25
150,PUBCHEM_670,dihydroxyacetone,2,Prebiotic building blocks,29,25,0.0055534106767319725,-1.5206064388475848,-0.027002307966109515,55,26
177,PUBCHEM_8892,hexanoic acid,2,Prebiotic building blocks,41,25,0.0033572011395793266,-1.523332700111652,1.7560053484589953,78,27
107,PUBCHEM_5862,cysteine,2,Prebiotic building blocks,42,24,0.005925632304274172,-1.196356335881503,0.1115924653963346,52,28
133,PUBCHEM_6287,valine,2,Prebiotic building blocks,41,24,0.005805189667146479,-1.1483669963478993,0.8616630172756617,53,29
122,PUBCHEM_6106,leucine,2,Prebiotic building blocks,48,24,0.005529874509020866,-0.892456046790676,1.2911896104059588,56,30
75,PUBCHEM_178,acetamide,1,Simple organic chemistry,47,23,0.09981772784561085,-2.449088577267682,-0.27081332952564796,6,31
49,PUBCHEM_1176,urea,1,Simple organic chemistry,45,23,0.08135692741170657,-2.138273977467859,-1.1427479809984942,8,32
111,PUBCHEM_5960,aspartic acid,2,Prebiotic building blocks,47,23,0.005446370387808093,-0.43826125769097096,0.016700701187412046,58,33
121,PUBCHEM_60961,adenosine,2,Prebiotic building blocks,28,23,0.0005020168115816406,4.610482419154669,-0.00407501270908842,107,34
129,PUBCHEM_6175,cytidine,2,Prebiotic building blocks,28,23,0.0005020168115816406,3.393187916790168,-0.16706247476523664,108,35
115,PUBCHEM_6029,uridine,2,Prebiotic building blocks,28,22,0.008971570314363254,3.223273660053742,-0.24397299433260625,36,36
182,PUBCHEM_971,oxalic acid,1,Simple organic chemistry,43,22,0.004619401836616965,-1.7280917253621357,-1.1916599331109812,69,37
38,PUBCHEM_11005,myristic acid,2,Prebiotic building blocks,37,22,0.001520180025389248,0.509154490313776,4.995404716737948,88,38
90,PUBCHEM_2969,capric acid,2,Prebiotic building blocks,37,22,0.001520180025389248,-0.5054446153397868,3.397573185572185,89,39
95,PUBCHEM_379,octanoic acid,2,Prebiotic building blocks,37,22,0.001520180025389248,-1.0136691935435906,2.58635658394159,90,40
96,PUBCHEM_3893,lauric acid,2,Prebiotic building blocks,37,22,0.001520180025389248,0.0020604986818887295,4.199222470276781,91,41
103,PUBCHEM_5281,stearic acid,2,Prebiotic building blocks,37,22,0.001520180025389248,1.5226572695945713,6.57865747925457,92,42
185,PUBCHEM_985,palmitic acid,2,Prebiotic building blocks,37,22,0.001520180025389248,1.0159915304520462,5.788170064296973,93,43
131,PUBCHEM_6262,ornithine,2,Prebiotic building blocks,45,21,0.011666336733694847,-0.3554927438635616,0.8878177880998754,29,44
56,PUBCHEM_135398619,guanosine diphosphate,4,RNA/ribonucleotide systems,30,21,0.0046434550801542455,8.869639677524505,-0.28934975003996816,64,45
57,PUBCHEM_135398631,guanosine monophosphate,4,RNA/ribonucleotide systems,30,21,0.0046434550801542455,6.942206963120439,-0.24250952246656388,65,46
58,PUBCHEM_135398633,guanosine triphosphate,4,RNA/ribonucleotide systems,30,21,0.0046434550801542455,10.79707239192857,-0.3361899776133723,66,47
1,L0_16a20a03d513a3a5,Magnesite,0,Inorganic/mineral chemistry,22,21,0.002088935582624414,-2.1060423587379176,-1.7785832319788124,83,48
112,PUBCHEM_5962,lysine,2,Prebiotic building blocks,38,20,0.008697487188576316,-0.09958179430633785,1.3173443812301735,37,49
93,PUBCHEM_33032,glutamic acid,2,Prebiotic building blocks,46,20,0.006216504171519743,-0.17659459467671837,0.5227658297257091,48,50
136,PUBCHEM_6306,isoleucine,2,Prebiotic building blocks,46,20,0.006135730331985681,-0.892456046790676,1.2911896104059588,49,51
34,PUBCHEM_1060,pyruvic acid,1,Simple organic chemistry,41,20,0.004593421614407011,-1.903966477504272,-0.3097112300039161,71,52
124,PUBCHEM_6131,cytidine monophosphate,4,RNA/ribonucleotide systems,29,20,4.264064063051721e-05,5.228277713958965,-0.18227097896010946,120,53
53,PUBCHEM_135398592,deoxyguanosine,5,DNA/deoxyribonucleotide systems,30,19,0.0046434550801542455,4.51915042437353,0.10753974633501831,67,54
54,PUBCHEM_135398597,deoxyguanosine monophosphate,5,DNA/deoxyribonucleotide systems,30,19,0.0046434550801542455,6.3542402215423275,0.09233124214014547,68,55
64,PUBCHEM_13711,deoxycytidine,5,DNA/deoxyribonucleotide systems,30,19,0.0005683641265058056,2.8052211752120564,0.1677782898414727,105,56
117,PUBCHEM_6031,uridine diphosphate,4,RNA/ribonucleotide systems,28,19,3.600590913810071e-05,6.985796171626605,-0.3060217261008834,124,57
126,PUBCHEM_6133,uridine triphosphate,4,RNA/ribonucleotide systems,28,19,3.600590913810071e-05,8.913228886030671,-0.3528619536742874,125,58
110,PUBCHEM_5957,adenosine triphosphate,4,RNA/ribonucleotide systems,28,19,2.7640378125923388e-05,10.300437645131597,-0.11296397205076972,131,59
114,PUBCHEM_6022,adenosine diphosphate,4,RNA/ribonucleotide systems,28,19,2.7640378125923388e-05,8.37300493072753,-0.06612374447736576,132,60
125,PUBCHEM_6132,cytidine diphosphate,4,RNA/ribonucleotide systems,28,19,2.7640378125923388e-05,7.155710428363033,-0.22911120653351352,133,61
130,PUBCHEM_6176,cytidine triphosphate,4,RNA/ribonucleotide systems,28,19,2.7640378125923388e-05,9.083143142767097,-0.27595143410691764,134,62
55,PUBCHEM_135398599,deoxyguanosine triphosphate,5,DNA/deoxyribonucleotide systems,29,18,0.004618289562188192,10.209105650350459,-0.0013492130066631845,70,63
66,PUBCHEM_13945,deoxycytidine monophosphate,5,DNA/deoxyribonucleotide systems,29,18,4.264064063051721e-05,4.640310972380854,0.1525697856466,121,64
146,PUBCHEM_65091,deoxycytidine triphosphate,5,DNA/deoxyribonucleotide systems,29,18,4.264064063051721e-05,8.495176401188983,0.05888933049979161,122,65
181,PUBCHEM_9700,thymidine monophosphate,5,DNA/deoxyribonucleotide systems,28,17,0.052700390005240946,4.674554979087179,0.3587689348132221,9,66
134,PUBCHEM_6288,threonine,2,Prebiotic building blocks,34,17,0.002303658565782101,-0.7656475766682226,0.25200263397639705,81,67
52,PUBCHEM_12599,deoxyadenosine monophosphate,5,DNA/deoxyribonucleotide systems,28,17,3.0481302653565663e-05,5.857605474745355,0.3155572477027478,127,68
