PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,record_id,source_name,layer,layer_name,pubchem_cid,inchikey,existing_formula,canonical_smiles,Canonical_RDKit_SMILES,RDKit_MolecularFormula
-3.470159361980426,-1.2086636641573816,0.08773913367199863,-0.37346482156468125,-0.09643312069094567,-0.576802427409575,-0.6012309868115614,-0.3730538291864982,0.3117516341289635,-0.29415314713943874,-0.2261024720262975,0.03806799152427023,0.24918285627595982,-0.1602724626633689,0.055188732662894306,-0.04301221071245108,0.038578814891866584,1.468267232455938e-15,-2.401371247153504e-16,1.577612899743915e-16,L0_0f4168490e38b844,Water,0,Inorganic/mineral chemistry,962,XLYOFNOQVPJJNP-UHFFFAOYSA-N,H2O,O,O,H2O
-2.1060423587379176,-1.7785832319788124,-0.4091507697521425,-0.18971017691388795,0.11755905497163952,-0.3947694655783456,-0.8243268682477037,-0.06835086814597331,-0.1496509653799831,-0.03764694035592826,-0.024446976032194864,0.5653295784297617,-0.20900100880217165,-0.15340821034888574,-0.04141095611460279,-0.0684794226805585,-0.03438488478520268,9.270456387987588e-17,-3.6087401340328316e-16,-3.000341623864971e-16,L0_16a20a03d513a3a5,Magnesite,0,Inorganic/mineral chemistry,11029,ZLNQQNXFFQJAID-UHFFFAOYSA-L,MgCO3,C(=O)([O-])[O-].[Mg+2],O=C([O-])[O-].[Mg+2],CMgO3
-1.7886580067230626,-1.9514188806934751,-0.17132094937849796,2.221026970597337,-1.0956280516373442,0.10409642542532015,-0.30708426319875987,0.346849992133265,-0.43932124182299054,0.20132961116398873,0.37556182996015797,0.4260616927416418,0.020964768606557507,-0.2856653068915417,-0.07185865105157183,-0.11502901965063084,0.0007517059780458815,1.9250957639348648e-16,6.151621558736251e-16,-1.338056417508913e-16,L0_2839c274795890e6,Anhydrite,0,Inorganic/mineral chemistry,24497,OSGAYBCDTDRGGQ-UHFFFAOYSA-L,CaSO4,[O-]S(=O)(=O)[O-].[Ca+2],O=S(=O)([O-])[O-].[Ca+2],CaO4S
-2.337108622803663,-1.432661908143977,-0.33780109885308596,0.0007518593069455777,-0.12975351648446282,-0.7901766353781324,-0.9299625968377049,-0.3194389513555359,-0.10461828684119791,-0.27325136700151403,0.4144461615142103,-0.32328847452181086,0.40900987359315744,0.7009573923989996,0.12766416519547727,-0.28939490158200915,-0.20000800414721875,-4.882294315478807e-16,2.352341701336873e-16,-1.6528460010781604e-16,L0_2c54521451dd9b7f,Hematite,0,Inorganic/mineral chemistry,14833,LIKBJVNGSGBSGK-UHFFFAOYSA-N,Fe2O3,[O-2].[O-2].[O-2].[Fe+3].[Fe+3],[Fe+3].[Fe+3].[O-2].[O-2].[O-2],Fe2O3
-3.595811423147834,0.5597504447613922,-0.5216899090546102,-0.5705664208405314,0.21907244275627694,0.5609321169882054,0.9033511243592485,-0.9401247927248947,-0.5261741843536135,-0.47251706167413277,-0.1318733302318904,-0.09744203473102121,0.23183121402258974,0.0427938267909379,0.009833227778076296,0.004310323724717887,0.0014180160728638333,8.634312972455624e-16,-1.5799510226333587e-17,-1.7628021667194792e-17,L0_2d5f5a8dc4bbee0a,Methane,0,Inorganic/mineral chemistry,297,VNWKTOKETHGBQD-UHFFFAOYSA-N,CH4,C,C,CH4
2.4035609005852367,-3.3551112027938115,-2.2330083934705143,0.8470212976894925,0.4357269661263841,-0.7059689303908128,-1.690933833644342,0.5238428372962157,-1.866799945141876,0.3141385320613308,1.9301515566599805,0.27397084195601895,-0.08398211455463267,0.5069416091515312,-0.2048988059773789,0.34884171461116603,-0.14299510707247842,1.6650047380429215e-16,-3.6292998085547046e-16,-2.4420780775839797e-17,L0_31387126d7b6f1f2,Montmorillonite,0,Inorganic/mineral chemistry,71586775,GUJOJGAPFQRJSV-UHFFFAOYSA-N,variable,O.[O-2].[O-2].[O-2].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.[Al+3].[Al+3],O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.[Al+3].[Al+3].[O-2].[O-2].[O-2],H2Al2O12Si4
-3.2605137729820473,-0.9062331729826222,0.16961558074536787,-0.3202844901749981,-0.20049745188891313,-0.5964664176303044,-0.6583415820019948,-0.468043534757966,0.3352522706563453,-0.21748335426272983,0.004634397961306672,0.29170753295232177,0.03407775279491966,-0.1686829196479947,-0.024343565916087804,0.011125847157811725,0.04518778320749684,-1.6633332760002756e-15,-3.871432908967737e-16,3.8315234405188395e-17,L0_3299926263e92c7d,Formaldehyde,0,Inorganic/mineral chemistry,712,WSFSSNUMVMOOMR-UHFFFAOYSA-N,CH2O,C=O,C=O,CH2O
1.849217469287354,-3.9945978503787156,-2.1157168731226137,0.37520172122742657,0.8474646095856168,-1.0507639243234783,-0.8142788097291072,0.9123064836487599,-1.2892192287239106,-0.2717210490540296,0.0517046425556387,-1.0191862424555147,-0.43058689159052116,-0.40482210514099354,0.5709705166198017,-0.27416909390581534,0.03898096704869822,-2.1730886022551251e-16,-8.671261375812053e-18,1.251774239834973e-16,L0_463c82f2667d70f0,Struvite,0,Inorganic/mineral chemistry,10220511,CKMXBZGNNVIXHC-UHFFFAOYSA-L,MgNH4PO4·6H2O,[NH4+].O.O.O.O.O.O.[O-]P(=O)([O-])[O-].[Mg+2],O.O.O.O.O.O.O=P([O-])([O-])[O-].[Mg+2].[NH4+],H16MgNO10P
-3.628919382254219,-0.9169479532598723,0.2685096622315964,-0.3061612522895297,-0.2666748501882515,-0.6442128546975766,-0.5648910013739084,-0.5185527347201317,0.41231104375893185,-0.3640334642231126,-0.15901549582551647,0.23808806975863475,0.17728075631372464,0.312856298848484,0.024365871301174173,0.013759081196421247,-0.05102846082830903,-6.536808831808214e-17,-1.7839652248908712e-17,1.9689141503867363e-16,L0_47c4d6406db7b344,Nickel,0,Inorganic/mineral chemistry,935,PXHVJJICTQNCMI-UHFFFAOYSA-N,Ni,[Ni],[Ni],Ni
6.519686355845483,-6.700309176618332,-3.5790536882122854,0.6144447039733557,1.467701837270486,2.919077807870036,-2.868483417297014,0.4637824477967779,-0.6675875569538112,-0.6950271021356499,-0.2214816987916852,0.17068556380595218,0.4542671132775488,-0.14574854652008307,-0.06291039583860564,0.3175116099960491,0.0159566903072678,-1.9479446056727625e-16,4.2427594205829e-16,3.2624145868501895e-16,L0_4abaf58b811438a2,Ulexite,0,Inorganic/mineral chemistry,102600792,RNCQTUQXZQSENY-UHFFFAOYSA-N,NaCaB5O9·8H2O,B1(OB2OB(O1)OB(O2)OB([O-])[O-])[O-].O.O.O.O.O.O.O.O.[Na+].[Ca+2],O.O.O.O.O.O.O.O.[Ca+2].[Na+].[O-]B([O-])OB1OB2OB([O-])OB(O1)O2,H16B5CaNaO17
-3.422420285263248,-0.9237496520390758,0.6424141789719242,2.0284840859271003,-1.4511509074368092,0.005593738809165257,-0.10294735433426257,-0.04850608197988631,0.2179363067133257,-0.09680898256947124,-0.02226085281879019,0.19368873980340373,0.09864884659473125,0.08695481838831769,-0.0026701209698462474,0.008733110258826091,-0.048901433854728525,-1.265646966252142e-17,-9.071513870240559e-17,1.429186824636054e-17,L0_52c8a333d6e31caf,Sphalerite,0,Inorganic/mineral chemistry,14821,WGPCGCOKHWGKJJ-UHFFFAOYSA-N,ZnS,S=[Zn],[S]=[Zn],SZn
6.19737645036917,-7.592671872138115,-3.6334242226263775,0.3320676500817372,1.799698132039972,3.3237365043156606,-2.8195941460693876,0.6241314225521201,-0.7842709796623224,-0.5594404527817898,-0.778633432593195,-0.5404109140412393,0.10418351157657375,-0.2190698787837863,0.0733155020388521,-0.018024782476138358,0.013820828193852136,6.880845790983409e-17,-2.6574532768805836e-16,-3.0626981948394556e-16,L0_6fd7b80b1330af19,Borax,0,Inorganic/mineral chemistry,16211214,CDMADVZSLOHIFP-UHFFFAOYSA-N,Na2B4O7·10H2O,B1(OB2OB(OB(O1)O2)[O-])[O-].O.O.O.O.O.O.O.O.O.O.[Na+].[Na+],O.O.O.O.O.O.O.O.O.O.[Na+].[Na+].[O-]B1OB2OB([O-])OB(O1)O2,H20B4Na2O17
-3.1094707224761375,-1.1594085263272762,0.8806553511568019,4.4109284420446775,-2.4963661039593514,0.7933462383528097,0.12639690785464672,0.5880545861854607,-0.0659419240145074,0.11152972384298533,-0.358570663969193,-0.3223096866255297,-0.06340867811875013,0.3813746127816228,-0.1502710741017744,-0.06323720986995415,-0.0995923531904911,1.4540801545277578e-16,-1.7070453308916793e-16,1.1166911974374444e-16,L0_7da6add96d763c13,Chalcopyrite,0,Inorganic/mineral chemistry,19601290,DVRDHUBQLOKMHZ-UHFFFAOYSA-N,CuFeS2,[S-2].[S-2].[Fe+2].[Cu+2],[Cu+2].[Fe+2].[S-2].[S-2],CuFeS2
-3.202275431643878,-2.201900916909281,-0.21303471022245188,-0.45578849603428956,0.37317869147794014,0.05768814331534051,-0.7227239978937338,0.20048794685294005,0.09821531949862723,-0.24516661712637786,-1.5939649673642733,0.4759289311024064,-0.4754396361561227,0.41219995347900884,-0.13373824647619487,-0.0764698035248672,-0.09281100084965713,-1.36403122071485e-16,-3.2445181327563903e-18,5.632243987204409e-17,L0_8b18b142f9f05540,Sylvite,0,Inorganic/mineral chemistry,4873,WCUXLLCKKVVCTQ-UHFFFAOYSA-M,KCl,[Cl-].[K+],[Cl-].[K+],ClK
-3.389796218710955,-0.875972280721979,0.18306214631606077,-0.3327041902690993,-0.19832656425314005,-0.6234344364482188,-0.6991795596613571,-0.4890808222904129,0.3701078288875968,-0.25047832607885395,-0.05726302722647163,0.0340224129888868,0.141770857297897,-0.07885478408608175,-0.06902593339919616,-0.10914417072609263,-0.00945363244348522,4.9618574971634735e-17,-1.4118647430564607e-17,3.9236237921011457e-17,L0_9c182c4b8abdfed2,Carbon monoxide,0,Inorganic/mineral chemistry,281,UGFAIRIUMAVXCW-UHFFFAOYSA-N,CO,[C-]#[O+],[C-]#[O+],CO
-3.2402935279731317,-2.2037213496890495,-0.20457518248224213,-0.4808824056876195,0.38303698188453916,0.06055350996363703,-0.7067233243430713,0.19924234402199983,0.11103529354386542,-0.24195175819873765,-1.6026476414598463,0.46773684118731906,-0.4561026653842336,0.30202326666470314,-0.18219650574170995,-0.06841301869403318,-0.11701148240358837,3.3442320335995066e-17,8.936216532734417e-18,3.8358260823567e-17,L0_9e84a582e2f4e097,Halite,0,Inorganic/mineral chemistry,5234,FAPWRFPIFSIZLT-UHFFFAOYSA-M,NaCl,[Na+].[Cl-],[Cl-].[Na+],ClNa
-3.62835293433275,-0.9169208298511845,0.26838362009988137,-0.3057873673679504,-0.26682173308479923,-0.6442555470240969,-0.5651294022711124,-0.5185341759493706,0.4121200334677186,-0.3640813637849841,-0.1588861289405561,0.2382101272195001,0.17699264649343344,0.31449786855517825,0.025087871687548457,0.013639039704032246,-0.050667887475133545,-3.452347985689046e-17,1.0011287785596958e-16,-2.09348330831775e-17,L0_a2bdc78162b620e9,Cobalt,0,Inorganic/mineral chemistry,104730,GUTLYIVDDKVIGB-UHFFFAOYSA-N,Co,[Co],[Co],Co
-3.211192909998098,-0.9495684115457448,0.5042526401132744,-0.5086540035562509,-0.17567543918291334,-0.7660227611090898,-0.08097982167907362,-0.021559837462154202,0.624470004703641,-0.33684159718114814,0.11948402524370551,0.14221225481524694,0.2532058395834028,-0.15655929735211335,0.1377346226635051,0.06588785642695599,-0.019038077561901165,-1.1607339900286213e-16,-3.0370999543304694e-17,-4.567122925187713e-17,L0_aed778121d5e11f6,Ammonia,0,Inorganic/mineral chemistry,222,QGZKDVFQNNGYKY-UHFFFAOYSA-N,NH3,N,N,H3N
