record_id,source_name,layer,layer_name,pubchem_cid,inchikey,existing_formula,canonical_smiles,Canonical_RDKit_SMILES,RDKit_MolecularFormula,RDKit_MolecularWeight,RDKit_LogP,RDKit_TPSA,RDKit_HBondDonors,RDKit_HBondAcceptors,RDKit_RotatableBonds,RDKit_RingCount,RDKit_AromaticRings,RDKit_AliphaticRings,RDKit_HeavyAtomCount,RDKit_HeteroAtoms,RDKit_FractionCSP3,RDKit_MolMR,RDKit_FormalCharge,RDKit_AtomCount,RDKit_CarbonCount,RDKit_NitrogenCount,RDKit_OxygenCount,RDKit_PhosphorusCount,RDKit_SulfurCount,PCA_PC1,PCA_PC2,PCA_PC3,network_degree,cross_layer_degree,betweenness_centrality
L0_0f4168490e38b844,Water,0,Inorganic/mineral chemistry,962,XLYOFNOQVPJJNP-UHFFFAOYSA-N,H2O,O,O,H2O,18.015,-0.8247,31.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.6138,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-3.470159361980426,-1.2086636641573816,0.08773913367199863,0,0,0.0
L0_16a20a03d513a3a5,Magnesite,0,Inorganic/mineral chemistry,11029,ZLNQQNXFFQJAID-UHFFFAOYSA-L,MgCO3,C(=O)([O-])[O-].[Mg+2],O=C([O-])[O-].[Mg+2],CMgO3,84.313,-2.8278,63.19,0.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,11.149999999999999,0.0,5.0,1.0,0.0,3.0,0.0,0.0,-2.1060423587379176,-1.7785832319788124,-0.4091507697521425,22,21,0.002088935582624414
L0_2839c274795890e6,Anhydrite,0,Inorganic/mineral chemistry,24497,OSGAYBCDTDRGGQ-UHFFFAOYSA-L,CaSO4,[O-]S(=O)(=O)[O-].[Ca+2],O=S(=O)([O-])[O-].[Ca+2],CaO4S,136.141,-1.7187999999999997,80.25999999999999,0.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,16.2286,0.0,6.0,0.0,0.0,4.0,0.0,1.0,-1.7886580067230626,-1.9514188806934751,-0.17132094937849796,1,0,0.0
L0_2c54521451dd9b7f,Hematite,0,Inorganic/mineral chemistry,14833,LIKBJVNGSGBSGK-UHFFFAOYSA-N,Fe2O3,[O-2].[O-2].[O-2].[Fe+3].[Fe+3],[Fe+3].[Fe+3].[O-2].[O-2].[O-2],Fe2O3,159.687,-0.3614,85.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0595,0.0,5.0,0.0,0.0,3.0,0.0,0.0,-2.337108622803663,-1.432661908143977,-0.33780109885308596,0,0,0.0
L0_2d5f5a8dc4bbee0a,Methane,0,Inorganic/mineral chemistry,297,VNWKTOKETHGBQD-UHFFFAOYSA-N,CH4,C,C,CH4,16.043,0.6361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.731,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-3.595811423147834,0.5597504447613922,-0.5216899090546102,0,0,0.0
L0_31387126d7b6f1f2,Montmorillonite,0,Inorganic/mineral chemistry,71586775,GUJOJGAPFQRJSV-UHFFFAOYSA-N,variable,O.[O-2].[O-2].[O-2].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.[Al+3].[Al+3],O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.[Al+3].[Al+3].[O-2].[O-2].[O-2],H2Al2O12Si4,360.312,-4.416299999999999,253.55999999999995,0.0,8.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,45.689299999999996,0.0,18.0,0.0,0.0,12.0,0.0,0.0,2.4035609005852367,-3.3551112027938115,-2.2330083934705143,0,0,0.0
L0_3299926263e92c7d,Formaldehyde,0,Inorganic/mineral chemistry,712,WSFSSNUMVMOOMR-UHFFFAOYSA-N,CH2O,C=O,C=O,CH2O,30.026,-0.1849,17.07,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,7.121,0.0,2.0,1.0,0.0,1.0,0.0,0.0,-3.2605137729820473,-0.9062331729826222,0.16961558074536787,1,1,0.0
L0_463c82f2667d70f0,Struvite,0,Inorganic/mineral chemistry,10220511,CKMXBZGNNVIXHC-UHFFFAOYSA-L,MgNH4PO4·6H2O,[NH4+].O.O.O.O.O.O.[O-]P(=O)([O-])[O-].[Mg+2],O.O.O.O.O.O.O=P([O-])([O-])[O-].[Mg+2].[NH4+],H16MgNO10P,245.404,-7.777399999999996,311.75,1.0,4.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,41.02810000000002,0.0,13.0,0.0,1.0,10.0,1.0,0.0,1.849217469287354,-3.9945978503787156,-2.1157168731226137,5,4,0.00014180995992875843
L0_47c4d6406db7b344,Nickel,0,Inorganic/mineral chemistry,935,PXHVJJICTQNCMI-UHFFFAOYSA-N,Ni,[Ni],[Ni],Ni,58.693,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.628919382254219,-0.9169479532598723,0.2685096622315964,0,0,0.0
L0_4abaf58b811438a2,Ulexite,0,Inorganic/mineral chemistry,102600792,RNCQTUQXZQSENY-UHFFFAOYSA-N,NaCaB5O9·8H2O,B1(OB2OB(O1)OB(O2)OB([O-])[O-])[O-].O.O.O.O.O.O.O.O.[Na+].[Ca+2],O.O.O.O.O.O.O.O.[Ca+2].[Na+].[O-]B([O-])OB1OB2OB([O-])OB(O1)O2,H16B5CaNaO17,405.23900000000015,-15.855799999999995,376.56,0.0,9.0,2.0,2.0,0.0,2.0,24.0,24.0,0.0,69.9444,0.0,24.0,0.0,0.0,17.0,0.0,0.0,6.519686355845483,-6.700309176618332,-3.5790536882122854,1,0,0.0
